datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-02 09:35:00,sh.600000,9.74,9.79,9.73,9.73,1288500,12571468.0,3
2019-01-02 09:40:00,sh.600000,9.73,9.77,9.72,9.75,710500,6917017.0,3
2019-01-02 09:45:00,sh.600000,9.76,9.77,9.72,9.72,379300,3697849.0,3
2019-01-02 09:50:00,sh.600000,9.73,9.75,9.62,9.68,1425800,13798365.0,3
2019-01-02 09:55:00,sh.600000,9.68,9.68,9.63,9.63,1316100,12704959.0,3
2019-01-02 10:00:00,sh.600000,9.64,9.64,9.6,9.61,891300,8570235.0,3
2019-01-02 10:05:00,sh.600000,9.61,9.65,9.58,9.6,1135800,10907711.0,3
2019-01-02 10:10:00,sh.600000,9.6,9.62,9.59,9.6,1012700,9725329.0,3
2019-01-02 10:15:00,sh.600000,9.59,9.65,9.59,9.64,620300,5957410.0,3
2019-01-02 10:20:00,sh.600000,9.64,9.65,9.6,9.62,461800,4443463.0,3
2019-01-02 10:25:00,sh.600000,9.62,9.62,9.6,9.62,430825,4140760.0,3
2019-01-02 10:30:00,sh.600000,9.61,9.65,9.61,9.65,396000,3808908.0,3
2019-01-02 10:35:00,sh.600000,9.62,9.65,9.6,9.62,440700,4242297.0,3
2019-01-02 10:40:00,sh.600000,9.62,9.65,9.6,9.62,461400,4439555.0,3
2019-01-02 10:45:00,sh.600000,9.62,9.67,9.62,9.65,310600,2996873.0,3
2019-01-02 10:50:00,sh.600000,9.64,9.68,9.63,9.68,301400,2910989.0,3
2019-01-02 10:55:00,sh.600000,9.68,9.68,9.64,9.66,381600,3686510.0,3
2019-01-02 11:00:00,sh.600000,9.64,9.69,9.64,9.67,345800,3343843.0,3
2019-01-02 11:05:00,sh.600000,9.67,9.69,9.64,9.66,310700,3001731.0,3
2019-01-02 11:10:00,sh.600000,9.67,9.67,9.63,9.67,293500,2829891.0,3
2019-01-02 11:15:00,sh.600000,9.64,9.68,9.63,9.67,199829,1929625.0,3
2019-01-02 11:20:00,sh.600000,9.68,9.69,9.65,9.67,268235,2596919.0,3
2019-01-02 11:25:00,sh.600000,9.67,9.69,9.66,9.69,130526,1263438.0,3
2019-01-02 11:30:00,sh.600000,9.68,9.69,9.66,9.66,139200,1346923.0,3
2019-01-02 13:05:00,sh.600000,9.67,9.68,9.62,9.64,448239,4326713.0,3
2019-01-02 13:10:00,sh.600000,9.67,9.67,9.63,9.63,199900,1926730.0,3
2019-01-02 13:15:00,sh.600000,9.63,9.64,9.63,9.63,155000,1493253.0,3
2019-01-02 13:20:00,sh.600000,9.62,9.64,9.61,9.62,297500,2862138.0,3
2019-01-02 13:25:00,sh.600000,9.62,9.64,9.62,9.63,141900,1366101.0,3
2019-01-02 13:30:00,sh.600000,9.63,9.65,9.61,9.63,238200,2293142.0,3
2019-01-02 13:35:00,sh.600000,9.63,9.63,9.6,9.61,382800,3679348.0,3
2019-01-02 13:40:00,sh.600000,9.61,9.66,9.61,9.65,135300,1303564.0,3
2019-01-02 13:45:00,sh.600000,9.63,9.66,9.63,9.64,144500,1393453.0,3
2019-01-02 13:50:00,sh.600000,9.64,9.65,9.61,9.62,191100,1839740.0,3
2019-01-02 13:55:00,sh.600000,9.61,9.66,9.61,9.63,242100,2330689.0,3
2019-01-02 14:00:00,sh.600000,9.63,9.66,9.61,9.62,309600,2978847.0,3
2019-01-02 14:05:00,sh.600000,9.62,9.65,9.6,9.62,279300,2685926.0,3
2019-01-02 14:10:00,sh.600000,9.61,9.66,9.61,9.64,297900,2870997.0,3
2019-01-02 14:15:00,sh.600000,9.64,9.65,9.62,9.65,262315,2527707.0,3
2019-01-02 14:20:00,sh.600000,9.65,9.7,9.63,9.67,673900,6515678.0,3
2019-01-02 14:25:00,sh.600000,9.67,9.67,9.65,9.66,269175,2600753.0,3
2019-01-02 14:30:00,sh.600000,9.67,9.76,9.66,9.69,858034,8323952.0,3
2019-01-02 14:35:00,sh.600000,9.7,9.78,9.69,9.74,912200,8878140.0,3
2019-01-02 14:40:00,sh.600000,9.74,9.74,9.66,9.67,649500,6297872.0,3
2019-01-02 14:45:00,sh.600000,9.67,9.77,9.66,9.69,782500,7597444.0,3
2019-01-02 14:50:00,sh.600000,9.7,9.7,9.68,9.69,516537,5004298.0,3
2019-01-02 14:55:00,sh.600000,9.71,9.71,9.68,9.7,922007,8931392.0,3
2019-01-02 15:00:00,sh.600000,9.7,9.7,9.68,9.7,800900,7765724.0,3
2019-01-03 09:35:00,sh.600000,9.7,9.71,9.66,9.68,719650,6971466.0,3
2019-01-03 09:40:00,sh.600000,9.68,9.69,9.67,9.69,329400,3189261.0,3
2019-01-03 09:45:00,sh.600000,9.69,9.71,9.68,9.71,528977,5129542.0,3
2019-01-03 09:50:00,sh.600000,9.7,9.75,9.7,9.74,807423,7853221.0,3
2019-01-03 09:55:00,sh.600000,9.75,9.76,9.73,9.76,456983,4452559.0,3
2019-01-03 10:00:00,sh.600000,9.75,9.76,9.75,9.75,211845,2066437.0,3
2019-01-03 10:05:00,sh.600000,9.75,9.8,9.75,9.8,743215,7266304.0,3
2019-01-03 10:10:00,sh.600000,9.8,9.82,9.79,9.8,730872,7165776.0,3
2019-01-03 10:15:00,sh.600000,9.79,9.82,9.77,9.79,908100,8894079.0,3
2019-01-03 10:20:00,sh.600000,9.79,9.79,9.77,9.78,263900,2581604.0,3
2019-01-03 10:25:00,sh.600000,9.78,9.79,9.75,9.76,569280,5563459.0,3
2019-01-03 10:30:00,sh.600000,9.76,9.77,9.76,9.77,252115,2461904.0,3
2019-01-03 10:35:00,sh.600000,9.77,9.79,9.76,9.76,476300,4654848.0,3
2019-01-03 10:40:00,sh.600000,9.76,9.76,9.74,9.74,390912,3810195.0,3
2019-01-03 10:45:00,sh.600000,9.74,9.78,9.74,9.76,341367,3330412.0,3
2019-01-03 10:50:00,sh.600000,9.77,9.78,9.76,9.76,322900,3153046.0,3
2019-01-03 10:55:00,sh.600000,9.77,9.77,9.73,9.73,394100,3842679.0,3
2019-01-03 11:00:00,sh.600000,9.73,9.74,9.7,9.71,342800,3331295.0,3
2019-01-03 11:05:00,sh.600000,9.71,9.74,9.71,9.72,238600,2319843.0,3
2019-01-03 11:10:00,sh.600000,9.73,9.73,9.69,9.71,526100,5106144.0,3
